"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
5.041220831E-2,-6.613082886E-1,2.971575928E1,-5.022677612E1,5.836259691E1
6.043820828E-2,-4.863967896E-1,2.940475464E1,-5.006417847E1,5.806288094E1
7.046520826E-2,-3.912124634E-1,2.943969727E1,-5.018750000E1,5.818620093E1
8.049120824E-2,-9.232406616E-1,2.932080078E1,-5.063497925E1,5.851891024E1
9.051820822E-2,-8.314132690E-1,2.954043579E1,-5.044738770E1,5.846595180E1
1.005442082E-1,-7.174148560E-1,2.935806274E1,-5.057263184E1,5.848077995E1
1.105712084E-1,-5.806427002E-1,2.939410400E1,-5.045013428E1,5.839149377E1
1.205972084E-1,-6.303405762E-1,2.928201294E1,-5.047320557E1,5.835561748E1
1.306242084E-1,-7.039260864E-1,2.905398560E1,-5.079782104E1,5.852391147E1
1.406502083E-1,-6.645812988E-1,2.925247192E1,-5.049902344E1,5.836351729E1
1.506772083E-1,-6.333541870E-1,2.934207153E1,-5.041625977E1,5.833658842E1
1.607042083E-1,-6.531906128E-1,2.923422241E1,-5.049444580E1,5.835028256E1
1.707302083E-1,-7.469635010E-1,2.950378418E1,-5.060668945E1,5.858385659E1
1.807572083E-1,-8.160324097E-1,2.922329712E1,-5.070687866E1,5.853079999E1
1.907832082E-1,-6.544494629E-1,2.915994263E1,-5.046514893E1,5.828775012E1
2.008102082E-1,-4.836349487E-1,2.937814331E1,-5.007815552E1,5.806144045E1
2.108362082E-1,-8.233108521E-1,2.976950073E1,-5.048452759E1,5.861389375E1
2.208632084E-1,-6.702117920E-1,2.962597656E1,-5.038159180E1,5.845042740E1
2.308892084E-1,-9.514312744E-1,2.973916626E1,-5.060708618E1,5.870605082E1
2.409162084E-1,-6.208190918E-1,2.986090088E1,-5.019497681E1,5.840885647E1
2.509422083E-1,-7.456970215E-1,2.964749146E1,-5.026873779E1,5.836502217E1
2.609692083E-1,-6.556167603E-1,2.977624512E1,-5.009149170E1,5.827702933E1
2.709962083E-1,-5.155258179E-1,2.967144775E1,-4.993740845E1,5.808963196E1
2.810222083E-1,-8.973846436E-1,2.929132080E1,-5.029711914E1,5.821157073E1
2.910492083E-1,-5.644226074E-1,2.924932861E1,-5.006811523E1,5.798842954E1
3.010752082E-1,-5.646591187E-1,2.927728271E1,-5.014715576E1,5.807077883E1
3.111022082E-1,-6.784667969E-1,2.975729370E1,-4.984408569E1,5.805505770E1
3.211282082E-1,-7.503814697E-1,2.971234131E1,-5.013882446E1,5.828625925E1
3.311552084E-1,-5.088424683E-1,2.937896729E1,-5.007748413E1,5.806149375E1
3.411812084E-1,-5.621871948E-1,2.943283081E1,-5.016308594E1,5.816307054E1
3.512082084E-1,-4.796752930E-1,2.938845825E1,-4.999090576E1,5.799139786E1
3.612352083E-1,-5.780410767E-1,2.951867676E1,-5.009121704E1,5.814478853E1
3.712612083E-1,-7.535629272E-1,2.966622925E1,-5.006042480E1,5.819535331E1
3.812882083E-1,-6.163406372E-1,2.978457642E1,-5.028558350E1,5.844776108E1
3.913142083E-1,-5.124816895E-1,2.987600708E1,-5.016986084E1,5.839394980E1
4.013405833E-1,-5.630569458E-1,2.982809448E1,-5.019284058E1,5.838966945E1
4.113665833E-1,-5.304031372E-1,2.988827515E1,-5.014178467E1,5.837626991E1
4.213935833E-1,-7.769241333E-1,2.998757935E1,-5.015530396E1,5.844153524E1
4.314195833E-1,-7.034225464E-1,2.997671509E1,-4.994229126E1,5.825230216E1
4.414465833E-1,-9.593200684E-1,2.983483887E1,-5.066754150E1,5.880678249E1
4.514735832E-1,-6.814651489E-1,2.989349365E1,-5.021524048E1,5.844361157E1
4.614995832E-1,-4.433288574E-1,2.962966919E1,-4.995816040E1,5.808555438E1
4.715265832E-1,-5.203628540E-1,2.929864502E1,-5.009805298E1,5.803874817E1
4.815525834E-1,-5.236892700E-1,2.979522705E1,-4.977239990E1,5.801139196E1
4.915795834E-1,-6.138305664E-1,2.940951538E1,-5.007684326E1,5.807741914E1
5.016055834E-1,-5.792617798E-1,2.938916016E1,-5.015988159E1,5.813838663E1
5.116325833E-1,-6.613693237E-1,2.953643799E1,-5.027960205E1,5.831703834E1
5.216585833E-1,-5.440139771E-1,2.937203979E1,-4.999526978E1,5.798740961E1
5.316855833E-1,-5.874633789E-1,2.935113525E1,-4.995626831E1,5.794361913E1
5.417125833E-1,-5.539627075E-1,2.915725708E1,-5.027182007E1,5.811805578E1
5.517385832E-1,-4.769592285E-1,2.938302612E1,-5.007940674E1,5.806493515E1
