"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
8.343375055E-3,-6.144409180E-1,2.561294556E1,-4.316622925E1,5.019685115E1
1.836937503E-2,-3.670120239E-1,2.560571289E1,-4.318460083E1,5.020654319E1
2.839437500E-2,-3.518676758E-1,2.559030151E1,-4.306002808E1,5.009144997E1
3.842037497E-2,-2.880859375E-1,2.560363770E1,-4.299392700E1,5.004105330E1
4.844637495E-2,-3.261718750E-1,2.572293091E1,-4.302090454E1,5.012558020E1
5.847137515E-2,-1.834640503E-1,2.576266479E1,-4.275839233E1,4.992022307E1
6.849737512E-2,-1.339645386E-1,2.582025146E1,-4.289108276E1,5.006344288E1
7.852337509E-2,-4.452819824E-1,2.577249146E1,-4.304211426E1,5.017014243E1
8.854837506E-2,-5.285263062E-1,2.553118896E1,-4.284246826E1,4.987582618E1
9.857437504E-2,-1.107635498E-1,2.574847412E1,-4.263482666E1,4.980687335E1
1.086003750E-1,-1.382064819E-1,2.596429443E1,-4.240536499E1,4.972301948E1
1.186253750E-1,-2.405929565E-1,2.570251465E1,-4.251208496E1,4.967851157E1
1.286513750E-1,-3.230667114E-1,2.566635132E1,-4.267892456E1,4.980317825E1
1.386773752E-1,-9.317016602E-2,2.559078979E1,-4.236959839E1,4.949828351E1
1.487023751E-1,-3.025512695E-1,2.576205444E1,-4.279116821E1,4.994856418E1
1.587283751E-1,-6.531524658E-2,2.552542114E1,-4.252426147E1,4.959701810E1
1.687543751E-1,-9.780883789E-2,2.557943726E1,-4.232708740E1,4.945603608E1
1.787793750E-1,-1.810531616E-1,2.542532349E1,-4.259710693E1,4.960840023E1
1.888053750E-1,-8.544921875E-4,2.537313843E1,-4.236648560E1,4.938334999E1
1.988313750E-1,-2.879028320E-1,2.558871460E1,-4.281216431E1,4.987731564E1
2.088563750E-1,-9.921264648E-2,2.548883057E1,-4.225277710E1,4.934559250E1
2.188823752E-1,-1.413040161E-1,2.545507812E1,-4.260055542E1,4.962648780E1
2.289083751E-1,-1.358184814E-1,2.528924561E1,-4.258157349E1,4.952529445E1
2.389333751E-1,1.366119385E-1,2.532208252E1,-4.238491821E1,4.937314875E1
2.489593751E-1,-2.399444580E-1,2.533923340E1,-4.285211182E1,4.978391115E1
2.589853751E-1,2.812957764E-2,2.548455811E1,-4.243438721E1,4.949889606E1
2.690103750E-1,-3.277587891E-2,2.560647583E1,-4.233340454E1,4.947534556E1
2.790363750E-1,-3.138656616E-1,2.565472412E1,-4.263229370E1,4.975716881E1
2.890623750E-1,-3.155288696E-1,2.576657104E1,-4.250326538E1,4.970456025E1
2.990883752E-1,-2.924499512E-1,2.557449341E1,-4.274508667E1,4.981247509E1
3.091133751E-1,3.869628906E-2,2.557168579E1,-4.226440430E1,4.939830445E1
3.191393751E-1,3.887939453E-2,2.565145874E1,-4.225897217E1,4.943500355E1
3.291653751E-1,8.382415771E-2,2.570114136E1,-4.206500244E1,4.929523429E1
3.391903751E-1,1.789627075E-1,2.535110474E1,-4.216729736E1,4.920153967E1
3.492163750E-1,-2.434158325E-1,2.544580078E1,-4.277471924E1,4.977172525E1
3.592423750E-1,-1.405792236E-1,2.560552979E1,-4.227346802E1,4.942376975E1
3.692673750E-1,2.892303467E-2,2.557391357E1,-4.243237305E1,4.954323541E1
3.792933750E-1,-7.173156738E-2,2.540927124E1,-4.228573608E1,4.933274457E1
3.893181668E-1,1.365203857E-1,2.534756470E1,-4.243856812E1,4.943227425E1
3.993431667E-1,-1.995315552E-1,2.518054199E1,-4.259884644E1,4.948495959E1
4.093691667E-1,8.876800537E-2,2.540838623E1,-4.202758789E1,4.911122188E1
4.193951667E-1,1.980514526E-1,2.548461914E1,-4.187307739E1,4.901897232E1
4.294201666E-1,3.620910645E-2,2.546600342E1,-4.201095581E1,4.912676510E1
4.394461666E-1,7.188415527E-2,2.557983398E1,-4.205300903E1,4.922183096E1
4.494721668E-1,-5.294799805E-3,2.595828247E1,-4.223178101E1,4.957172363E1
4.594971668E-1,1.073989868E-1,2.559970093E1,-4.223358154E1,4.938655315E1
4.695231668E-1,1.018142700E-1,2.538931274E1,-4.221105957E1,4.925851315E1
4.795491667E-1,7.005310059E-2,2.551422119E1,-4.242141724E1,4.950310122E1
4.895741667E-1,-5.104827881E-2,2.557498169E1,-4.246853638E1,4.957478065E1
4.996001667E-1,1.590042114E-1,2.581311035E1,-4.216201782E1,4.943660279E1
5.096261667E-1,1.013183594E-1,2.582757568E1,-4.221566772E1,4.948976190E1
5.196511666E-1,2.322463989E-1,2.577368164E1,-4.225552368E1,4.949611990E1
5.296771668E-1,1.907806396E-1,2.563858032E1,-4.199642944E1,4.920440310E1
5.397031668E-1,-7.286071777E-2,2.582562256E1,-4.245281982E1,4.969114610E1
5.497281668E-1,4.711914062E-2,2.559017944E1,-4.233651733E1,4.946958868E1
5.597541668E-1,9.308624268E-2,2.560247803E1,-4.224655151E1,4.939905526E1
5.697801667E-1,1.357040405E-1,2.553347778E1,-4.224960327E1,4.936603974E1
5.798051667E-1,1.610260010E-1,2.555950928E1,-4.243634033E1,4.953945321E1
5.898311667E-1,-9.569549561E-2,2.541244507E1,-4.249343872E1,4.951256261E1
5.998571666E-1,4.421997070E-2,2.532800293E1,-4.221221924E1,4.922784924E1
6.098821668E-1,-1.503448486E-1,2.549932861E1,-4.250692749E1,4.956891413E1
6.199081668E-1,9.811401367E-2,2.552670288E1,-4.237527466E1,4.947005244E1
6.299341668E-1,1.856613159E-1,2.535263062E1,-4.241967773E1,4.941881634E1
6.399591668E-1,5.109405518E-2,2.553320312E1,-4.248208618E1,4.956485366E1
6.499851667E-1,1.591339111E-1,2.554779053E1,-4.221484375E1,4.934377324E1
6.600111667E-1,3.110733032E-1,2.544839478E1,-4.221496582E1,4.929321355E1
6.700371667E-1,3.247680664E-1,2.529171753E1,-4.223913574E1,4.923333259E1
6.800621666E-1,2.567062378E-1,2.550802612E1,-4.211401367E1,4.923733789E1
6.900881666E-1,1.527023315E-1,2.530700684E1,-4.219595337E1,4.920331690E1
7.001141668E-1,2.403945923E-1,2.542285156E1,-4.205053711E1,4.913885268E1
7.101391668E-1,1.848144531E-1,2.562609863E1,-4.208505249E1,4.927355001E1
7.201651668E-1,1.475906372E-1,2.556558228E1,-4.235049438E1,4.946903228E1
7.301911667E-1,2.554931641E-1,2.539529419E1,-4.215628052E1,4.921522357E1
